Designator,Mid X,Mid Y,Rotation,Layer
BATT_HIGH1,95.6,-86.6,90.0,top
D1,116.5,-59.5,0.0,top
D10,171.5,-58.7,0.0,top
D11,190.6,-67.4,0.0,top
D12,211.0,-68.5,0.0,top
D13,114.4,-96.0,0.0,top
D14,134.3,-93.8,0.0,top
D15,152.5,-92.3,0.0,top
D16,171.5,-93.6,0.0,top
D17,192.2,-102.9,0.0,top
D18,208.15,-103.8,0.0,top
D19,114.4,-99.1,0.0,top
D2,134.3,-55.7,0.0,top
D20,135.3,-96.8,0.0,top
D21,152.5,-95.4,0.0,top
D22,171.5,-96.8,0.0,top
D23,194.2,-105.6,0.0,top
D24,208.25,-107.0,0.0,top
D25,107.0,-97.0,0.0,top
D26,109.8,-119.3,300.0,top
D27,123.9,-118.0,0.0,top
D28,142.9,-115.8,0.0,top
D29,162.0,-115.8,0.0,top
D3,152.5,-54.2,0.0,top
D30,180.9,-123.5,0.0,top
D31,240.75,-67.0,0.0,top
D32,240.75,-70.0,0.0,top
D33,240.75,-105.25,0.0,top
D34,240.75,-108.25,0.0,top
D35,204.25,-126.25,0.0,top
D4,171.5,-55.6,0.0,top
D5,190.6,-64.5,0.0,top
D6,208.8,-65.9,0.0,top
D7,123.5,-61.1,0.0,top
D8,135.3,-58.7,0.0,top
D9,152.6,-57.4,0.0,top
J1,107.9,-78.15,180.0,top
J2,84.925,-44.075,0.0,top
J3,100.51,-74.6,0.0,top
JP1,104.3,-71.6,90.0,top
JP2,101.8,-71.6,90.0,top
JP3,99.2,-71.6,90.0,top
JP4,96.7,-71.6,90.0,top
JP5,104.3,-71.6,90.0,bottom
JP6,101.8,-71.6,90.0,bottom
JP7,99.2,-71.6,90.0,bottom
JP8,96.7,-71.6,90.0,bottom
R1,97.86,-77.5,180.0,top
R2,97.86,-79.75,180.0,top
RSW1,90.0,-77.2,270.0,top
SW1,120.5,-50.41,0.0,top
SW10,177.6,-67.01,0.0,top
SW11,196.7,-75.81,0.0,top
SW12,215.7,-77.31,0.0,top
SW13,120.5,-88.51,0.0,top
SW14,139.5,-86.11,0.0,top
SW15,158.6,-84.81,0.0,top
SW16,177.6,-86.11,0.0,top
SW17,196.7,-95.01,0.0,top
SW18,215.7,-96.51,0.0,top
SW19,120.5,-107.51,0.0,top
SW2,139.5,-48.01,0.0,top
SW20,139.5,-105.21,0.0,top
SW21,158.6,-103.81,0.0,top
SW22,177.6,-105.21,0.0,top
SW23,196.7,-114.01,0.0,top
SW24,215.75,-115.51,0.0,top
SW25,99.75,-104.5,0.0,top
SW26,105.60492958444839,-130.275,300.0,top
SW27,127.98611580849203,-126.8160295887785,15.0,top
SW28,149.0,-124.16,0.0,top
SW29,168.1,-124.16,0.0,top
SW3,158.6,-46.62,0.0,top
SW30,187.2,-132.81,0.0,top
SW31,234.7,-59.71,0.0,top
SW32,234.7,-78.61,0.0,top
SW33,234.7,-97.81,0.0,top
SW34,234.7,-116.81,0.0,top
SW35,215.3557780987907,-134.96095326735298,356.5,top
SW4,177.6,-48.01,0.0,top
SW5,196.7,-56.91,0.0,top
SW6,215.7,-58.41,0.0,top
SW7,120.5,-69.51,0.0,top
SW8,139.5,-67.11,0.0,top
SW9,158.6,-65.71,0.0,top
SW_POW1,88.6,-86.5,270.0,top
TH1,91.5,-93.5,0.0,top
TH2,107.0,-93.5,0.0,top
TH3,129.6,-59.6,0.0,top
TH4,224.5,-66.6,0.0,top
TH5,168.0,-75.25,0.0,top
TH6,230.6,-128.7,0.0,top
TH7,105.0,-114.8,90.0,top
TH8,182.0,-115.5,0.0,top
U1,100.449407,-55.797872,0.0,top
